,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
50,50,,,,,,,,,,,,,,,,,,,,,,,2004-03,3382340,1718281,1664059,6.135483870967741,1.9677419354838712,10.09677419354839,4.477419354838711,0.9806451612903226,1.3870967741935485,0.664516129032258
51,51,,,,,,,,,,,,,,,,,,,,,,,2004-04,3657936,1773840,1884096,10.636666666666668,6.03,15.173333333333334,6.046666666666667,0.97,1.0399999999999998,0.4966666666666667
52,52,,,,,,,,,,,,,,,,,,,,,,,2004-05,4076485,2049899,2026586,12.141935483870968,7.496774193548387,16.532258064516128,7.180645161290322,0.7225806451612904,0.6870967741935484,0.2129032258064516
53,53,,,,,,,,,,,,,,,,,,,,,,,2004-06,4008925,2001351,2007574,15.789999999999996,10.996666666666666,20.05333333333333,6.096666666666667,1.48,2.243333333333333,0.8933333333333334
54,54,,,,,,,,,,,,,,,,,,,,,,,2004-07,4565684,2137750,2427934,17.103225806451615,12.841935483870964,21.31612903225807,6.85483870967742,1.3354838709677417,3.07741935483871,1.4516129032258065
55,55,,,,,,,,,,,,,,,,,,,,,,,2004-08,4483625,2350963,2132662,19.0741935483871,15.119354838709675,23.46129032258065,5.974193548387098,2.0903225806451613,6.583870967741937,3.045161290322581
56,56,,,,,,,,,,,,,,,,,,,,,,,2004-09,4153659,2067063,2086596,15.71333333333333,11.773333333333332,19.683333333333334,6.266666666666665,1.8133333333333337,3.613333333333333,1.56
57,57,,,,,,,,,,,,,,,,,,,,,,,2004-10,4155554,2105582,2049972,11.632258064516128,8.499999999999998,15.10645161290322,3.945161290322581,1.82258064516129,2.1516129032258067,0.864516129032258
58,58,,,,,,,,,,,,,,,,,,,,,,,2004-11,3247807,1626629,1621178,6.933333333333335,3.786666666666666,9.736666666666668,1.62,2.3,2.3,0.6466666666666664
59,59,,,,,,,,,,,,,,,,,,,,,,,2004-12,3102830,1513011,1589819,4.054838709677419,0.8709677419354839,6.777419354838709,1.6612903225806448,1.6870967741935483,1.2741935483870968,0.3838709677419355
